chr1	3072753	3073753	+	RP23-271O17.1
chr1	3101516	3102516	+	Gm26206
chr1	3252257	3253257	+	RP23-317L18.1
chr1	3368049	3369049	-	RP23-317L18.4
chr1	3377288	3378288	-	RP23-317L18.3
chr1	3466087	3467087	+	Gm1992
chr1	3466785	3467785	-	RP23-115I1.6
chr1	3514007	3515007	-	RP23-115I1.5
chr1	3531295	3532295	+	RP23-115I1.2
chr1	3595403	3596403	-	RP23-115I1.3
chr1	3658404	3659404	-	RP23-122M2.3
chr1	3670998	3671998	-	Xkr4
chr1	3679655	3680655	+	RP23-122M2.2
chr1	3751510	3752510	+	RP23-122M2.1
chr1	3783433	3784433	-	Gm27396
chr1	3985715	3986715	-	RP23-333I7.1
chr1	4260019	4261019	-	RP23-177A20.1
chr1	4364329	4365329	-	RP23-391E12.2
chr1	4408741	4409741	-	Rp1
chr1	4496051	4497051	+	RP23-285G23.2
chr1	4496854	4497854	-	Sox17
chr1	4522405	4523405	+	RP23-285G23.3
chr1	4528517	4529517	+	Gm22307
chr1	4534786	4535786	-	RP23-285G23.4
chr1	4585752	4586752	-	RP23-37D15.1
chr1	4609971	4610971	+	RP23-37D15.2
chr1	4688903	4689903	-	Gm6085
chr1	4692924	4693924	-	RP23-34E15.2
chr1	4722879	4723879	-	Gm25493
chr1	4735176	4736176	-	RP23-34E15.3
chr1	4770631	4771631	+	RP23-34E15.4
chr1	4778712	4779712	-	RP23-34E15.5
chr1	4785239	4786239	-	Mrpl15
chr1	4807288	4808288	+	Lypla1
chr1	4807392	4808392	+	RP24-426M1.3
chr1	4857314	4858314	+	Tcea1
chr1	4880151	4881151	-	Gm6104
chr1	4906361	4907361	-	RP24-426M1.4
chr1	4926799	4927799	-	Gm17100
chr1	4940210	4941210	-	RP24-141F9.2
chr1	4970357	4971357	+	Gm16041
chr1	5062560	5063560	+	Gm17101
chr1	5069518	5070518	+	Atp6v1h
chr1	5069785	5070785	-	Rgs20
chr1	5276837	5277837	-	RP23-267J18.2
chr1	5307239	5308239	+	RP23-267J18.1
chr1	5403047	5404047	+	RP23-335P21.1
chr1	5587966	5588966	+	Oprk1
chr1	5617730	5618730	-	RP23-238E7.2
chr1	5644245	5645245	-	Gm22463
chr1	5844172	5845172	-	RP23-354J2.1
chr1	5916898	5917898	-	Npbwr1
chr1	6049545	6050545	-	RP23-74E8.1
chr1	6205697	6206697	+	Rb1cc1
chr1	6214793	6215793	-	4732440D04Rik
chr1	6358718	6359718	+	Fam150a
chr1	6379894	6380894	+	RP23-76C20.3
chr1	6382606	6383606	-	RP23-76C20.2
chr1	6440796	6441796	-	RP23-76C20.4
chr1	6486731	6487731	+	St18
chr1	6860737	6861737	+	RP23-299N6.2
chr1	6910060	6911060	+	RP23-299N6.1
chr1	6916059	6917059	+	RP23-5K7.4
chr1	6929259	6930259	+	RP23-76C20.5
chr1	6997717	6998717	+	RP23-5K7.3
chr1	7013262	7014262	+	RP23-5K7.2
chr1	7035415	7036415	+	RP23-5K7.1
chr1	7088420	7089420	+	Pcmtd1
chr1	7136086	7137086	-	Gm26983
chr1	7147610	7148610	+	WI1-817D1.2
chr1	7177239	7178239	+	Gm9826
chr1	7189419	7190419	-	Nras-ps2
chr1	7265303	7266303	+	Gm23274
chr1	7314951	7315951	+	RP23-278C19.1
chr1	7397369	7398369	-	Gm26901
chr1	7410179	7411179	+	RP24-263A16.2
chr1	7497468	7498468	+	RP24-181G14.2
chr1	7591146	7592146	+	RP24-181G14.1
chr1	7596879	7597879	+	RP23-404K2.2
chr1	7663581	7664581	+	RP23-404K2.1
chr1	7730065	7731065	-	RP23-408B17.1
chr1	8452991	8453991	-	RP23-241G23.1
chr1	8468325	8469325	-	Gm16284
chr1	8530813	8531813	-	RP23-311L17.1
chr1	8588224	8589224	-	Gm23358
chr1	8644359	8645359	-	RP24-442E5.1
chr1	8791662	8792662	-	Gm15452
chr1	8815342	8816342	+	RP23-397E23.1
chr1	8815638	8816638	+	Gm24276
chr1	8855767	8856767	-	Gm6152
chr1	8856263	8857263	+	RP23-200C17.1
chr1	8963121	8964121	-	Gm7493
chr1	9191616	9192616	-	RP23-331M15.1
chr1	9258634	9259634	-	RP23-331M15.2
chr1	9286422	9287422	+	RP23-411P10.1
chr1	9299378	9300378	-	Sntg1
chr1	9398187	9399187	-	RP23-411P10.5
chr1	9439876	9440876	-	RP23-411P10.3
chr1	9450079	9451079	+	RP23-411P10.2
chr1	9458170	9459170	+	Gm24765
chr1	9501022	9502022	-	RP24-361E12.1
chr1	9544908	9545908	+	Rrs1
chr1	9547448	9548448	+	Adhfe1
chr1	9574048	9575048	+	Gm6161
chr1	9600699	9601699	+	3110035E14Rik
chr1	9630675	9631675	-	2610203C22Rik
chr1	9640082	9641082	-	Gm29520
chr1	9699709	9700709	-	Mybl1
chr1	9747148	9748148	+	1700034P13Rik
chr1	9747882	9748882	-	Vcpip1
chr1	9797607	9798607	+	Sgk3
chr1	9802053	9803053	-	Gm6195
chr1	9834102	9835102	-	Gm22607
chr1	9908138	9909138	+	Mcmdc2
chr1	9942049	9943049	-	Snord87
chr1	9943618	9944618	-	Snhg6
chr1	9966814	9967814	+	RP23-228G18.3
chr1	9967432	9968432	-	Tcf24
chr1	9981887	9982887	+	Gm15818
chr1	10008636	10009636	-	Ppp1r42
chr1	10009417	10010417	-	Gm24674
chr1	10037487	10038487	+	Cspp1
chr1	10037668	10038668	-	Cops5
chr1	10057444	10058444	-	RP23-228G18.5
chr1	10061758	10062758	+	RP23-228G18.6
chr1	10166039	10167039	+	Gm26348
chr1	10198302	10199302	-	RP24-327F2.1
chr1	10232170	10233170	-	Arfgef1
chr1	10451489	10452489	-	RP23-418C16.1
chr1	10555053	10556053	-	Gm15604
chr1	10555160	10556160	-	Gm25253
chr1	10694623	10695623	+	Gm15603
chr1	10719445	10720445	-	Cpa6
chr1	10783877	10784877	-	RP24-88A10.2
chr1	10804781	10805781	+	Gm5522
chr1	10868188	10869188	+	Gm28659
chr1	10921170	10922170	+	Gm22963
chr1	10992965	10993965	+	Prex2
chr1	11133738	11134738	-	Gm24173
chr1	11223674	11224674	-	Gm28686
chr1	11366464	11367464	-	RP23-366M5.2
chr1	11413605	11414605	+	A830018L16Rik
chr1	11416418	11417418	+	RP23-2K13.1
chr1	11607900	11608900	-	Gm29273
chr1	11703707	11704707	+	RP24-239K20.1
chr1	12120460	12121460	+	Gm7560
chr1	12374436	12375436	+	Gm22633
chr1	12425486	12426486	+	Mir6341
chr1	12565077	12566077	+	Gm2383
chr1	12655367	12656367	+	Gm6216
chr1	12667063	12668063	+	Gm17644
chr1	12670676	12671676	-	Gm29663
chr1	12691777	12692777	+	Sulf1
chr1	12992150	12993150	-	Slco5a1
chr1	13059451	13060451	-	RP24-178B14.2
chr1	13061525	13062525	+	Gm5250
chr1	13068338	13069338	+	Gm29283
chr1	13126663	13127663	-	Prdm14
chr1	13179214	13180214	-	RP23-93D12.2
chr1	13235934	13236934	-	RP23-93D12.1
chr1	13261698	13262698	+	Gm27881
chr1	13290006	13291006	-	RP23-125I14.4
chr1	13298407	13299407	-	RP23-125I14.3
chr1	13334109	13335109	-	Gm23169
chr1	13347704	13348704	-	RP23-125I14.2
chr1	13356230	13357230	-	RP23-125I14.1
chr1	13373583	13374583	-	Ncoa2
chr1	13375570	13376570	+	Gm29570
chr1	13407155	13408155	-	Gm7593
chr1	13589410	13590410	-	Tram1
chr1	13642248	13643248	-	RP23-70F22.2
chr1	13660046	13661046	-	Lactb2
chr1	13668271	13669271	+	Xkr9
chr1	13773964	13774964	-	Gm26273
chr1	13786379	13787379	-	Gm5523
chr1	13848619	13849619	-	RP23-74B7.1
chr1	13931878	13932878	+	Gm25491
chr1	14112319	14113319	-	RP24-335B5.1
chr1	14182078	14183078	+	Gm22616
chr1	14255490	14256490	-	RP24-291C20.1
chr1	14309735	14310735	-	Eya1
chr1	14752437	14753437	+	Gm9947
chr1	14755492	14756492	-	Msc
chr1	14788145	14789145	+	RP23-398C14.1
chr1	14839656	14840656	-	Smt3h2-ps4
chr1	14864572	14865572	+	Rpl5-ps1
